Original Stub Packed With UPX

Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
004094FA  push installer_1vs100.4ABE08                                      ":%d"
00409B7F  push installer_1vs100.4ABE58                                      "http"
00409BD3  push installer_1vs100.4ABE50                                      "https"
00409C1C  push installer_1vs100.4ABE4C                                      "ws"
00409F67  push installer_1vs100.4ABE74                                      "Keep-Alive"
00409F8B  push installer_1vs100.4ABE68                                      "Connection"
0040A055  push installer_1vs100.4ABE8C                                      "Range"
0040A16D  push installer_1vs100.4ABE94                                      "location"
0040A215  push installer_1vs100.4ABEA0                                      "content-length"
0040A2D7  push installer_1vs100.4ABEC8                                      "chunked"
0040A2FB  push installer_1vs100.4ABEB4                                      "transfer-encoding"
0040A3B7  push installer_1vs100.4ABED0                                      "Close"
0040A3DB  push installer_1vs100.4ABE68                                      "Connection"
0040A537  push installer_1vs100.4ABD4C                                      "invalid map/set<T> iterator"
0040A967  push installer_1vs100.4ABE8C                                      "Range"
0040AA87  push installer_1vs100.4ABED8                                      "Content-Range"
0040ACA7  push installer_1vs100.4ABDF0                                      "GET"
0040ACB7  push installer_1vs100.4ABEE8                                      "AmHttpClient v1.0"
0040ACCC  push installer_1vs100.4ABE80                                      "User-Agent"
0040AD17  push installer_1vs100.4ABED0                                      "Close"
0040AD25  push installer_1vs100.4ABE68                                      "Connection"
0040AE5D  push installer_1vs100.4ABE74                                      "Keep-Alive"
0040AE6B  push installer_1vs100.4ABE68                                      "Connection"
0040AEB2  push installer_1vs100.4ABED0                                      "Close"
0040AEC0  push installer_1vs100.4ABE68                                      "Connection"
0040AF8C  push installer_1vs100.4ABF20                                      "bytes=%I64u-"
0040AFB8  push installer_1vs100.4ABF10                                      "bytes=-%I64u"
0040AFD3  push installer_1vs100.4ABEFC                                      "bytes=%I64u-%I64u"
0040B006  push installer_1vs100.4ABE8C                                      "Range"
0040B8F2  push installer_1vs100.4ABF34                                      "udp"
0040B916  push installer_1vs100.4ABF30                                      "tcp"
0040BA9E  mov ecx,dword ptr ds:[4ABF3C]                                     "65535"
0040BB75  push installer_1vs100.4ABF38                                      "%u"
0040BB8F  and edx,installer_1vs100.4ABF34                                   "udp"
0040BBB6  push installer_1vs100.4ABF38                                      "%u"
0040BD5B  mov dword ptr ss:[esp],installer_1vs100.4ABF70                    "getaddrinfo"
0040BD6A  mov dword ptr ss:[esp+8],installer_1vs100.4ABF64                  "getnameinfo"
0040BD7A  mov dword ptr ss:[esp+10],installer_1vs100.4ABF54                 "freeaddrinfo"
0040BDE8  push installer_1vs100.4ABF4C                                      "\\ws2_32"
0040BE1E  push installer_1vs100.4ABF70                                      "getaddrinfo"
0040BE44  push installer_1vs100.4ABF44                                      "\\wship6"
0040BE68  push installer_1vs100.4ABF70                                      "getaddrinfo"
0040BF0D  push installer_1vs100.4ABF7C                                      "Unable to initialize WINSOCK\n"
0040CB87  push installer_1vs100.4ABFEC                                      "--"
0040CD11  push installer_1vs100.4ABFF8                                      ", --"
0040CD5D  push installer_1vs100.4ABFF0                                      "    --"
0040CDD1  push installer_1vs100.4AC07C                                      "no arguments allowed for option: %s\n"
0040CE2F  push installer_1vs100.4AC058                                      "no argument given for option: %s\n"
0040CE7A  push installer_1vs100.4AC024                                      "internal error: please contact technical support.\n"
0040CECF  push installer_1vs100.4AC000                                      "invalid argument for option: %s\n"
0040CF79  push installer_1vs100.4ABFEC                                      "--"
0040CFB9  push installer_1vs100.4AC0E0                                      "unrecognized option: %s\n"
